TINWSYS_IS_NUMBER,WATER_SYSTEM_NUMBER,SYSTEM_NAME,REGULATING_AGENCY,COUNTY,FEDERAL_CLASSIFICATION_TYPE,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,PL_ADDRESS,PL_ADDRESS_CITY_NAME,PL_ADDRESS_STATE_CODE,PL_ADDRESS_ZIP_CODE,LATITUDE_MEASURE,LONGITUDE_MEASURE,SERVICE_AREA_ECONOMIC_STATUS,MHI,CALENVIRO_SCREEN_SCORE,RISK_ASSESSMENT_RESULT,CURRENT_FAILING,FINAL_SAFER_STATUS,FAILING_START_DATE,PRIMARY_MCL_VIOLATION,PRIMARY_ANALYTES,SECONDARY_MCL_VIOLATION,SECONDARY_ANALYTES,E_COLI_VIOLATION,E_COLI_ANALYTES,TREATMENT_TECHNIQUE_VIOLATION,TT_ANALYTES,MONITORING_AND_REPORTING_VIOLATION,MONITORING_AND_REPORTING_ANALYTES,SOURCE_CAPACITY_VIOLATION,SOURCE_CAPACITY_ANALYTES,TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT,WEIGHTED_WATER_QUALITY_SCORE,WATER_QUALITY_SCORE,WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,WATER_QUALITY_RISK_LEVEL,WEIGHTED_ACCESSIBILITY_SCORE,ACCESSIBILITY_SCORE,ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,ASSESSIBILITY_RISK_LEVEL,WEIGHTED_AFFORDABILITY_SCORE,AFFORDABILITY_SCORE,AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,AFFORDABILITY_RISK_LEVEL,WEIGHTED_TMF_CAPACITY_SCORE,TMF_CAPACITY_SCORE,TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,TMF_CAPACITY_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET,HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE,HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL,TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET,TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL,PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET,PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL,CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET,CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE,NUMBER_OF_WATER_SOURCES_RISK_LEVEL,NUMBER_OF_WATER_SOURCES_THRESHOLD_MET,NUMBER_OF_WATER_SOURCES_RAW_SCORE,NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE,ABESENCE_OF_INTERTIES_RISK_LEVEL,ABESENCE_OF_INTERTIES_THRESHOLD_MET,ABESENCE_OF_INTERTIES_RAW_SCORE,ABESENCE_OF_INTERTIES_WEIGHTED_SCORE,SOURCE_CAPACITY_VIOLATION_RISK_LEVEL,SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET,SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE,SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE,EXTREME_WATER_BILL_RISK_LEVEL,EXTREME_WATER_BILL_THRESHOLD_MET,EXTREME_WATER_BILL_RAW_SCORE,EXTREME_WATER_BILL_WEIGHTED_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL,HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE,TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL,TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET,TOTAL_NET_ANNUAL_INCOME_RAW_SCORE,TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE,OPERATING_RATIO_RISK_LEVEL,OPERATING_RATIO_THRESHOLD_MET,OPERATING_RATIO_RAW_SCORE,OPERATING_RATIO_WEIGHTED_SCORE,DAYS_CASH_ON_HAND_RISK_LEVEL,DAYS_CASH_ON_HAND_THRESHOLD_MET,DAYS_CASH_ON_HAND_RAW_SCORE,DAYS_CASH_ON_HAND_WEIGHTED_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL,OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET,OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL,MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET,MONITORING_AND_REPORTING_VIOLATIONS_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE,SIGNIFICANT_DEFICIENCIES_RISK_LEVEL,SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET,SIGNIFICANT_DEFICIENCIES_RAW_SCORE,SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE,FUNDING_RECEIVED_SINCE_2017,TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017,LEGISTATIVE_DISTRICT,REGIONAL_BOARD,CREATED_DATE
9691,CA3301107,CARVER TRACT MUTUAL WATER COMP,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,COMMUNITY,188,600,PRIVATE,84129 LEYTE AVE,INDIO,CA,92201,33.702017,-116.197033,DAC,64566,42.0994691830748,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,5.17,1.50,0.50,0.29,MEDIUM,1.33,0.67,0.26,HIGH,0.67,0.67,0.13,MEDIUM,1.67,0.83,0.32,HIGH,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,3.00,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,HIGH,1 or more Operator Certification violation(s) over the last three years,1,3.0,HIGH,2 or more violations,1,2.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,890334.67,State Senate District 28,Region 7 Colarado River,2025-10-15
5952,CA5410022,CAMP NELSON WATER COMPANY,DISTRICT 12 - VISALIA,TULARE,COMMUNITY,293,134,PRIVATE,2001 NELSON DR.,CAMP NELSON,CA,93208,36.141475,-118.610347,SDAC,48259,23.8429706310499,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,0.92,0.25,0.08,0.27,LOW,0.00,0.00,0.00,NONE,0.67,0.67,0.73,MEDIUM,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,NONE,1 or more interties,0,0,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 16,Region 5 Central Valley (Fresno Office),2025-10-15
6074,CA5601144,RANCHO SESPE WORKERS IMP ASSOC,DISTRICT 06 - SANTA BARBARA,VENTURA,COMMUNITY,109,600,PRIVATE,2950 East Telegraph Road,FILLMORE,CA,93015,34.39938,-118.82227,SDAC,57727,30.5994345454942,Potentially At-Risk,Not Failing,Potentially At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,2.50,0.00,0.00,0.00,NONE,1.50,0.75,0.60,HIGH,0.33,0.33,0.13,LOW,0.67,0.33,0.27,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,HIGH,2 or more violations,1,2.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 19,Region 4 Los Angeles,2025-10-15
823,CA1009051,"CANTUA CREEK VINEYARDS, IV, LLC.",DISTRICT 23 - FRESNO,FRESNO,COMMUNITY,16,52,PRIVATE,16000 S SAN MATEO,CANTUA CREEK,CA,93608,36.502363,-120.31456,SDAC,25222,45.787554292228,At-Risk,Failing,Failing,2017-01-01,YES,ARSENIC,NO,,NO,,NO,,NO,,NO,,5.17,2.00,0.67,0.39,HIGH,2.17,1.08,0.42,HIGH,0.33,0.33,0.06,LOW,0.67,0.33,0.13,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,HIGH,50% or more sources exceed an MCL,1,3,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,HIGH,1 or more source(s) within a Critically Overdrafted Basin,1,2,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,6197941.67,0.0,State Senate District 12,Region 5 Central Valley (Fresno Office),2025-10-15
9781,CA3301283,GLEN EDEN SUN CLUB,DISTRICT 20 - RIVERSIDE,RIVERSIDE,COMMUNITY,407,566,PRIVATE,25999 Glen Eden Rd,CORONA,CA,92883,33.738562,-117.448435,Non-DAC,112147,19.6138754075258,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,1.00,1.00,0.33,1.00,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,2.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,NONE,1 or more interties,0,0,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 28,Region 8 Santa Ana,2025-10-15
1233,CA1410008,INYO COUNTY PWD - INDEPENDENCE,DISTRICT 27 - MOJAVE,INYO,COMMUNITY,336,1108,LOCAL,"168 N. EDWARDS STREET, P.O. DRAWER Q",INDEPENDENCE,CA,93526,36.80313,-118.196647,SDAC,56563,16.5189188045696,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,2.17,0.50,0.17,0.23,LOW,1.00,0.50,0.46,MEDIUM,0.00,0.00,0.00,NONE,0.67,0.33,0.31,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,NONE,1 or more interties,0,0,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,VERY HIGH,1 or more occurrence(s) of bottled/hauled water reliance within the last 3 years,1,3,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,HIGH,2 or more violations,1,2.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,7142.41,State Senate District 8,Region 6 Lahontan (Victorville Office),2025-10-15
10029,CA2600501,BIRCHIM COMMUNITY SERVICE DISTRICT,LPA56 - MONO COUNTY,MONO,COMMUNITY,76,150,LOCAL,Tom's Place,MAMMOTH LAKES,CA,93546,37.565548,-118.67882,DAC,76630,16.8671981982105,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,0.66,0.00,0.00,0.00,NONE,0.33,0.17,0.50,LOW,0.00,0.00,0.00,NONE,0.33,0.17,0.50,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 8,Region 6 Lahontan (Victorville Office),2025-10-15
8843,CA2800531,NAPA RIVER RANCH,LPA58 - NAPA COUNTY,NAPA,COMMUNITY,14,70,PRIVATE,6 CUTTINGS WHARF RD,NAPA,CA,94559,38.228229,-122.30661,Non-DAC,119167,3.80319387110678,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,3.50,0.50,0.17,0.14,LOW,1.33,0.67,0.38,HIGH,0.00,0.00,0.00,NONE,1.67,0.83,0.48,HIGH,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,HIGH,1 or more violations over the last three years,1,1,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,HIGH,Less than 1,1,1.00,NONE,No Operator Certification violations over the last three years,0,0.0,HIGH,2 or more violations,1,2.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 3,Region 2 San Francisco,2025-10-15
3043,CA2410001,CITY OF ATWATER,DISTRICT 11 - MERCED,MERCED,COMMUNITY,8502,29479,LOCAL,470 AVIATOR DRIVE,ATWATER,CA,95301,37.35316,-120.600187,DAC,58866,43.3282583918569,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,5.68,3.35,1.12,0.59,HIGH,1.00,0.50,0.18,MEDIUM,1.00,1.00,0.18,HIGH,0.33,0.17,0.06,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),0.67,1.34,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),0.79,2.37,HIGH,50% or more sources exceed an MCL,1,3,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,Systems not assessed by DWR,Systems not assessed by DWR,Systems not assessed by DWR,Systems not assessed by DWR,HIGH,1 or more source(s) within a Critically Overdrafted Basin,1,2,UNKNOWN,UNKNOWN,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,17.5,State Senate District 12,Region 5 Central Valley (Sacramento Office),2025-10-15
2314,CA1900636,EL RANCHO MOBILE HOME PARK,DISTRICT 16 - CENTRAL,LOS ANGELES,COMMUNITY,76,215,PRIVATE,44122 NORTH 28TH STREET EAST,LANCASTER,CA,93535,34.685096,-118.093172,DAC,72271,26.5647880109563,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,3.92,0.75,0.25,0.19,LOW,1.50,0.75,0.38,HIGH,1.00,1.00,0.26,HIGH,0.67,0.33,0.17,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.50,1.50,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,NONE,No sources within a Critically Overdrafted Basin,0,0,UNKNOWN,UNKNOWN,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,122338.67,State Senate District 21,Region 6 Lahontan (Victorville Office),2025-10-15
8660,CA2901994,SHADY CREEK OUTDOOR SCHOOL,LPA59 - NEVADA COUNTY,NEVADA,TRANSIENT NON-COMMUNITY,12,315,LOCAL,18601 Pathfinder Wy,NEVADA CITY,CA,95959,39.331624,-121.093448,DAC,61667,14.1977541701949,Not Assessed,Not Failing,Not Assessed,,NO,,NO,,NO,,NO,,NO,,NO,,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0.0,0.0,Missing,Missing,2025-10-15
6987,CA5500125,MOTHER LODE MOBILE ESTATES,DISTRICT 28 - YOSEMITE,TUOLUMNE,COMMUNITY,75,210,PRIVATE,14192 TUOLUMNE RD,SONORA,CA,95370,37.968553,-120.332659,DAC,70461,24.4631444811916,Not At-Risk,Failing,Failing,2023-11-01,NO,,YES,IRON; MANGANESE,NO,,NO,,NO,,NO,,1.17,0.50,0.17,0.43,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.67,0.33,0.57,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,NONE,1 or more interties,0,0,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 8,Region 5 Central Valley (Sacramento Office),2025-10-15
